model,mean_cv_roc_auc,std_cv_roc_auc
Logistic Regression,0.9064947130164521,0.019700816981989767
Random Forest,0.8896836255531909,0.0369433817088397
Support Vector Machine,0.8849813632422328,0.016012860974788136
