model,accuracy,precision,recall,f1_score,roc_auc
Support Vector Machine,0.9016393442622951,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9610389610389611
Logistic Regression,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9577922077922079
Random Forest,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9388528138528138
